# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
50,,UMTW,Yakima River At Umtanum,,Yakima_at Umtanum,UMTW1,12484500,YAKIMA RIVER AT UMTANUM WA                          ,,48,,DED,Deadwood Res near Lowman,,Deadwood,DEDI1,,
51,,PARW,Yakima R near Parker,,Yakima+Naches,,12500450,YAKIMA RIVER ABOVE AHTANUM CREEK AT UNION GAP WA   ,,49,,CSC,Cascade Dam WS near Cascade 1NW,,Cascade,CSDI1,,
52,YAK,KIOW,Yakima River At Kiona,,Yakima_Modified,KIOW1,12510500,Yakima River at Kiona WA                            ,,50,BRN,BRN,Brownlee,,Brownlee,BRNI1,,
53,,JCK,Snake R On Jackson Lk @ Dam,,Jackson Lake,JLKW4,13011000,SNAKE RIVER NR MORAN WY                            ,,51,OXB,OXB,,,Oxbow,,,
54,,BFKY,Buffalo Fk Abv Lava Cr nr Moran,,Buffalo_HW,BFKW4,13011900,BUFFALO FORK AB LAVA CREEK NR MORAN WY             ,,52,HCD,HCD,Hells Canyon Dam,,Hells Canyon,HCDI1,,
55,,,,,Moose,MSEW4,13013650,SNAKE RIVER AT MOOSE WY                           ,,53,DWR,DWR,Dworshak Dam,,Dworshak,DWRI1,,
56,,GROY,Gros Ventre R @ Zenith,,Gros Ventre_HW,GVZW4,13015000,GROS VENTRE RIVER AT ZENITH WY                     ,,54,LWG,LWG,Lower Granite Dam,,Lower Granite,LGDW1,,
57,,JKSY,Snake R Blw Flat Cr nr Jcksn,,Snake DS Flat_Ck,JKSW4,13018750,SNAKE RIVER BL FLAT CREEK NR JACKSON WY            ,,55,LGS,LGS,Little Goose Dam,,Little Goose,LGSW1,,
58,,,,,Hoback_HW,,13019500,HOBACK RIVER NR JACKSON WY                        ,,56,LMN,LMN,Lower Monumental Dam,,Lower Monumental,LMNW1,,
59,,GREY,Greys Abv Palisades Res nr Alpin,,Greys_HW,GREW4,13023000,GREYS RIVER AB RESERVOIR NR ALPINE WY              ,,57,IHR,IHR,Ice Harbor Dam,,Ice Harbor,IHDW1,,
