# Diversion and return flows, cfs. One row per day of a generic (non-leap) year.
# Read by scripts/externalRules/DiversionFromCSV.py
#
# Column headers are ResSim element names. A positive number takes water out of the
# network, a negative number puts it back, so the Return columns are negative.
#
# GENERATED from data/daily_diversions_returns_ALT.csv by
# scripts/externalRules/_offline_tests/build_DiversionConfig.py
# Do not edit by hand -- rerun that script instead.
#
# The source holds one value per MONTH, repeated across every day of that month.
# It is written out day by day only to match the layout the other config files use.
Month,Day,Diversion 1 down,Diversion 1 up,Diversion 2,Diversion 3,Diversion 4,Diversion 5,Diversion 6,Diversion 7,Diversion 8,Diversion 9,Diversion 10,Diversion 11,Diversion 12,Diversion 13,Diversion 14,Diversion 15,Return 1 down,Return 1 up,Return 2,Return 3,Return 4,Return 5,Return 6,Return 7,Return 8,Return 9,Return 10,Return 11,Return 12,Return 13,Return 14,Return 15
6,25,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
6,26,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
6,27,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
6,28,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
6,29,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
6,30,589,101,26,101,50,86,43,36,29,43,8,33,1,6,2,0,-164,-17,-4,-39,-10,-28,-5,-8,-8,-23,-1,-4,0,-1,-1,0
7,1,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,2,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,3,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,4,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
