DATE,DET,GPR,FOS,CGR,BLU,FAL,HCR,LOP,DOR,FRN,COT
22Apr2025  0800,1554.1,1000.3,632.95,1673.4,1336.5,820.37,1529.6,914.50,821.50,373.50,783.41
23Apr2025  0800,1554.8,1000.9,633.16,1674.3,1337.2,820.90,1530.1,915.12,821.90,373.50,783.68
24Apr2025  0800,1555.5,1001.4,633.37,1675.2,1337.9,821.42,1530.6,915.74,822.30,373.50,783.95
25Apr2025  0800,1556.2,1002.0,633.58,1676.1,1338.7,821.94,1531.1,916.35,822.70,373.50,784.21
26Apr2025  0800,1556.9,1002.5,633.79,1677.0,1339.4,822.46,1531.6,916.97,823.10,373.50,784.48
27Apr2025  0800,1557.5,1003.1,633.99,1677.9,1340.0,822.98,1532.1,917.58,823.47,373.50,784.74
28Apr2025  0800,1558.2,1003.6,634.22,1678.7,1340.8,823.49,1532.6,918.19,823.85,373.50,785.00
29Apr2025  0800,1558.9,1004.2,634.45,1679.7,1341.6,824.01,1533.1,918.80,824.22,373.50,785.26
30Apr2025  0800,1559.5,1004.7,634.68,1680.5,1342.3,824.52,1533.6,919.41,824.60,373.50,785.52
01May2025  0800,1560.2,1005.2,634.90,1681.4,1343.0,825.03,1534.1,920.02,824.98,373.50,785.78
02May2025  0800,1560.9,1005.8,635.12,1682.3,1343.7,825.53,1534.6,920.63,825.35,373.50,786.04
03May2025  0800,1561.5,1006.3,635.33,1683.2,1344.4,826.04,1535.1,921.23,825.73,373.50,786.30
04May2025  0800,1562.2,1006.8,635.54,1684.0,1345.1,826.54,1535.6,921.83,826.11,373.50,786.55
05May2025  0800,1562.8,1007.4,635.75,1684.9,1345.8,827.04,1536.1,922.43,826.48,373.50,786.81
06May2025  0800,1563.5,1007.9,635.96,1685.7,1346.5,827.54,1536.5,923.03,826.86,373.50,787.06
07May2025  0800,1563.5,1008.4,636.16,1686.6,1347.2,828.03,1537.0,923.63,827.22,373.50,787.31
08May2025  0800,1563.5,1009.0,636.37,1687.4,1347.9,828.53,1537.5,924.22,827.57,373.50,787.56
09May2025  0800,1563.5,1009.5,636.58,1688.3,1348.6,829.02,1538.0,924.82,827.93,373.50,787.81
10May2025  0800,1563.5,1010.0,636.79,1689.1,1349.3,829.51,1538.5,925.41,828.28,373.50,788.06
11May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1539.0,926.00,828.64,373.50,788.30
12May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1539.5,926.00,828.99,373.50,788.55
13May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1540.0,926.00,829.33,373.50,788.79
14May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1540.5,926.00,829.66,373.50,789.04
15May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,829.99,373.50,789.28
16May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,830.33,373.50,789.52
17May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,830.66,373.50,789.76
18May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,831.00,373.50,790.00
19May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,831.33,373.50,790.00
20May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,831.67,373.50,790.00
21May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
22May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
23May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
24May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
25May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
26May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
27May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
28May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
29May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
30May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
31May2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
01Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
02Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
03Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
04Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
05Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
06Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
07Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
08Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
09Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
10Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
11Jun2025  0800,1563.5,1010.0,637.00,1690.0,1350.0,830.00,1541.0,926.00,832.00,373.50,790.00
