"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
83,Reservoir,WAN,WAN,Wanapum Dam,,Wanapum,WANW1,,,1165,
84,Reservoir,PRD,PRD,Priest Rapids Dam,,Priest Rapids,PRWW1,,,1160,
85,Junction,PRD,PRD,Priest Rapids Dam,,Priest Rapids,PRDW1,12472800,Columbia River Below Priest Rapids Dam WA           ,,
86,Reservoir,,KEE,Keechelus Dam & Lk on Yakima R,,Keechelus,KEDW1,,,,
87,Reservoir,,KAC,Lake Kachess - KAC,,Kachess,KADW1,,,,
88,Reservoir,,CLE,Cle Elum Dam & Lk on Cle Elum,,Cle Elum,CLUW1,,,,
89,Reservoir,,BUM,Bumping Dam & Lk on Bumping R,,Bumping Lake,BUDW1,,,,
90,Reservoir,,RIM,Tieton Dam & Rimrock Lk,,Tieton,RILW1,,,,
91,Junction,,UMTW,Yakima River At Umtanum,,Yakima_at Umtanum,UMTW1,12484500,YAKIMA RIVER AT UMTANUM WA                          ,,
92,Junction,,PARW,Yakima R near Parker,,Yakima+Naches,,12500450,YAKIMA RIVER ABOVE AHTANUM CREEK AT UNION GAP WA   ,,
93,Junction,YAK,KIOW,Yakima River At Kiona,,Yakima_Modified,KIOW1,12510500,Yakima River at Kiona WA                            ,,
94,Reservoir,,JCK,Snake R On Jackson Lk @ Dam,,Jackson Lake,JLKW4,,,,
95,Junction,,JCK,Snake R On Jackson Lk @ Dam,,Jackson Lake,JLKW4,13011000,SNAKE RIVER NR MORAN WY                            ,,
96,Junction,,BFKY,Buffalo Fk Abv Lava Cr nr Moran,,Buffalo_HW,BFKW4,13011900,BUFFALO FORK AB LAVA CREEK NR MORAN WY             ,,
97,Junction,,,,,Moose,MSEW4,13013650,SNAKE RIVER AT MOOSE WY                           ,,
98,Junction,,GROY,Gros Ventre R @ Zenith,,Gros Ventre_HW,GVZW4,13015000,GROS VENTRE RIVER AT ZENITH WY                     ,,
99,Junction,,JKSY,Snake R Blw Flat Cr nr Jcksn,,Snake DS Flat_Ck,JKSW4,13018750,SNAKE RIVER BL FLAT CREEK NR JACKSON WY            ,,
100,Junction,,,,,Hoback_HW,,13019500,HOBACK RIVER NR JACKSON WY                        ,,
101,Junction,,GREY,Greys Abv Palisades Res nr Alpin,,Greys_HW,GREW4,13023000,GREYS RIVER AB RESERVOIR NR ALPINE WY              ,,
102,Junction,,SALY,Salt R Abv Palisades Re nr Etna,,Salt_HW,SALW4,13027500,SALT RIVER AB RESERVOIR NR ETNA WY                 ,,
103,Reservoir,,PAL,Palisades Dam near Irwin,,Palisades,PLDI1,,,,
104,Junction,,PAL,Palisades Dam near Irwin,,Palisades,PALI1,13032500,SNAKE RIVER NR IRWIN ID                            ,,
105,Junction,,HEII,Snake R nr Heise nr Blackfoot,,Heise,HEII1,13037500,SNAKE RIVER NR HEISE ID                            ,,
106,Junction,,LORI,Snake R near Lorenzo 1N,,Lorenzo,LORI1,13038500,SNAKE RIVER AT LORENZO ID                          ,,
107,Junction,,REXI,Henry's Fork near Rexburg 6W,,Rexburg Gage,REXI1,13056500,HENRYS FORK NR REXBURG ID                          ,,
108,Junction,,SHYI,Snake R near Shelley 3N,,Shelley,SHYI1,13060000,SNAKE RIVER NR SHELLEY ID                          ,,
109,Junction,,BLFI,Blackfoot Riv Nr Blackfoot-ID,,Blackfoot_HW,BLFI1,13068500,BLACKFOOT RIVER NR BLACKFOOT ID                    ,,
110,Reservoir,,AMF,American Falls Res nr Am Fls,,American Falls,AFRI1,,,,
111,Junction,,MINI,Snake R nr Minidoka nr Rupert,,Minidoka,MINI1,13081500,SNAKE R NR MINIDOKA ID (AT HOWELLS FERRY)          ,,
112,Junction,,MILI,Snake R near Milner 12W,,Milner,MILI1,13087995,SNAKE RIVER GAGING STATION AT MILNER ID            ,,
113,Junction,,STFI,Snake R near Twin Falls,,Kimberly,STFI1,13090500,SNAKE RIVER NR TWIN FALLS ID                       ,,
114,Junction,,MLDI,Malad R near Gooding,,Gooding_HW,MLDI1,13152500,MALAD RIVER NR GOODING ID                          ,,
115,Junction,,SKHI,Snake R @ King Hill,,King Hill,SKHI1,13154500,SNAKE RIVER AT KING HILL ID                        ,,
116,Junction,,SWAI,Snake R near Murphy 8NE,,Murphy,SWAI1,13172500,SNAKE RIVER NR MURPHY ID,,
